댐코드,댐이름,예측구간,예측시간,기준시각,예상강수량,현재방류량,현재방류량_시간누적기준,예상누적방류_하한,예상누적방류_중앙,예상누적방류_상한,예상변화량,구간포함률,중앙값_MAE,방류증가가능성,운영해석
2021110,밀양,3일,72,2026-05-04 11:00:00,0.0,1.832,131.904,171.77969204931523,191.0421453097975,201.20925534442353,0.20627523274520831,0.35866598430569774,51.58592793843521,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2021110,밀양,5일,120,2026-05-02 11:00:00,13.0,1.729,207.48000000000002,262.4400007725216,324.76336178648074,337.60434151237837,0.3318063062580993,0.30738266529633435,105.88140206499664,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3203110,보령,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,77.03591287844003,118.20782102072305,177.84901949523444,1.4923291612273502,0.7371794871794872,32.93614749827912,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3203110,보령,3일,72,2026-05-04 11:00:00,0.0,3.979,286.488,248.838706909582,248.838706909582,365.91399614811706,-0.3509587119656588,0.7531754205286646,105.78912383383886,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
3203110,보령,5일,120,2026-05-02 11:00:00,20.0,4.091,490.92,423.96143127666255,424.1547073022966,488.954175272942,-0.33185516200296195,0.6134091692519821,150.41435123651902,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
2012101,보현산,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,10.78804191028815,10.945513585026932,11.538926583675545,-0.08983478116270742,0.7282534828406388,0.2788714793578325,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2012101,보현산,3일,72,2026-05-04 11:00:00,0.0,0.466,33.552,33.260328868138956,33.260328868138956,34.50350816826965,-0.04349663894808513,0.7403616513135448,3.821423057573593,낮음,장기 전망 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
2012101,보현산,5일,120,2026-05-02 11:00:00,6.0,0.466,55.92,55.87324845817054,73.91997641992316,73.91997641992316,-0.0007206623693422434,0.737153134635149,15.345026919125914,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
3303110,부안,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,18.71055230443907,18.71055230443907,25.089127602806688,0.15151546226903434,0.41896024464831805,3.9954712940164714,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3303110,부안,3일,72,2026-05-04 11:00:00,0.0,1.519,109.368,93.30786925975585,206.19712994985477,206.19712994985477,-0.410986130310479,0.32898328215626066,23.746713080367634,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3303110,부안,5일,120,2026-05-02 11:00:00,16.0,1.42,170.39999999999998,130.22336101890602,324.8932204861718,324.8932204861718,-0.25990925425088324,0.23475505310037684,69.03321643732961,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
4001110,섬진강,1일,24,2026-05-06 11:00:00,0.0,34.39,825.36,491.52746917710834,753.5490083878124,753.5490083878124,-2.7704976644048096,0.6580019062472923,93.20683982672118,낮음,하루 전 관찰 우선순위 판단 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
4001110,섬진강,3일,72,2026-05-04 11:00:00,0.0,27.942,2011.824,1622.135476257832,2407.771791301825,2439.066723585332,4.475610863960362,0.5422431044983903,451.75178283396775,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
4001110,섬진강,5일,120,2026-05-02 11:00:00,16.0,29.551,3546.12,2483.8926829385086,4010.7087260573376,4235.417834081199,6.761211061409411,0.7489733508082131,1398.355921026202,낮음,장기 전망 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
2002111,성덕,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,9.596922118963576,13.643534245770224,17.04184189956673,-0.1744012470856069,0.5628610261637784,2.5568145524282277,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2002111,성덕,3일,72,2026-05-04 11:00:00,0.0,0.847,60.983999999999995,37.01815778714405,113.92117582625414,113.92117582625414,-0.43093835753696624,0.7389116342545207,11.09827183776398,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2002111,성덕,5일,120,2026-05-02 11:00:00,5.0,0.847,101.64,57.784825455658385,57.784825455658385,186.92954849480054,-0.11334367857487702,0.6728331620417951,13.531773659954647,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1012110,소양강,1일,24,2026-05-06 11:00:00,0.0,1.0,24.0,16.790256225636465,589.2221983580615,979.2062287774912,13.665510941689792,0.6552837240910635,263.18161256053304,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1012110,소양강,3일,72,2026-05-04 11:00:00,0.0,0.0,0.0,596.622391814257,1382.5894520882616,2191.520414060086,16.81877140770428,0.48737632207437737,768.9961826894264,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1012110,소양강,5일,120,2026-05-02 11:00:00,11.0,1.0,120.0,853.1738417754647,2610.376213982998,3095.264367639235,8.992052317302894,0.34540938677629324,1482.0318844698136,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2001110,안동,1일,24,2026-05-06 11:00:00,0.0,81.76,1962.2400000000002,46.44889974879993,119.75706133609492,374.64336004394426,-80.41361306198804,0.19317023445463813,442.60327581589445,낮음,하루 전 관찰 우선순위 판단 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
2001110,안동,3일,72,2026-05-04 11:00:00,0.0,0.0,0.0,222.18582165349633,297.4247817773826,859.5157358131879,8.328439335932734,0.0511770726714432,1230.998200872235,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2001110,안동,5일,120,2026-05-02 11:00:00,15.0,0.0,0.0,315.8107434300176,650.0473234448249,1141.0531951039134,-1.2746349973430888,0.025008564576909902,2033.338283203282,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2004101,영주,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,26.569631211948902,35.652781808873385,150.81714526674165,1.795750563364466,0.6538396194359497,25.7930860799668,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2004101,영주,3일,72,2026-05-04 11:00:00,0.0,1.367,98.424,96.56075441986965,100.29868330785543,447.0264033224923,-0.0029334845648449383,0.8644660525417946,112.00394407207727,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2004101,영주,5일,120,2026-05-02 11:00:00,21.0,1.397,167.64000000000001,154.47787924500543,160.59645644976402,661.253286614202,0.05121774384024964,0.7326139088729017,175.20958437687747,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3001110,용담,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,402.53313838657715,402.53313838657715,480.8972130957764,-19.25819423340599,0.7048683298683299,164.5264775145132,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3001110,용담,3일,72,2026-05-04 11:00:00,0.0,18.759,1350.6480000000001,1770.115386142204,1858.9694944992807,4684.363469392478,9.229742109394579,0.563848295059151,1387.394482582467,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
3001110,용담,5일,120,2026-05-02 11:00:00,22.0,27.887,3346.44,3114.974474442207,3193.3629909881333,4415.508517475787,-3.2640610642589407,0.5518867924528302,5618.678538499087,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
2002110,임하,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,163.7066500359612,425.3459632327015,632.7082760003212,13.726359977659255,0.6605504587155964,116.20066386479316,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2002110,임하,3일,72,2026-05-04 11:00:00,0.0,4.906,353.23199999999997,940.9762892232278,1086.2351677800368,1131.5782701547105,1.7216106106010742,0.2088877516206073,357.77205619417043,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2002110,임하,5일,120,2026-05-02 11:00:00,16.0,4.901,588.12,1548.9396490644099,1548.9396490644099,2214.1975698551437,6.921950208907693,0.34438163754710516,524.2418962801812,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
5101110,장흥,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,51.324196404105706,62.87160495678796,86.66822580242223,0.24186812643633862,0.7786272511043153,35.086283443327595,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
5101110,장흥,3일,72,2026-05-04 11:00:00,0.0,5.109,367.848,300.6007820695813,372.6463550348494,372.6463550348494,-0.033339517275005094,0.7408734220402593,156.28162001477807,낮음,장기 전망 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
5101110,장흥,5일,120,2026-05-02 11:00:00,42.0,4.948,593.76,464.94702245190985,717.5441466990864,717.5441466990864,4.869962786244703,0.6503939705378554,444.2932481093416,중간,장기 전망 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
4007110,주암(본),1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,338.92162458405534,347.98704058004125,542.1754133210839,0.18622257587422633,0.1852328273732956,147.00921915867468,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
4007110,주암(본),3일,72,2026-05-04 11:00:00,0.0,13.261,954.7919999999999,1019.3751877182598,1090.3040732851114,1602.9633722623514,1.4661912199455505,0.18393180056832859,542.0507509345879,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
4007110,주암(본),5일,120,2026-05-02 11:00:00,24.0,14.641,1756.92,1699.8414167890598,3331.566518827834,3331.566518827834,8.370779042970435,0.1735408560311284,1596.833624455359,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
4104610,주암(조),1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,213.38291152674537,213.8399294815463,589.6399016733814,5.527422514428949,0.5821440706761808,23.738472933015775,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
4104610,주암(조),3일,72,2026-05-04 11:00:00,0.0,0.0,0.0,852.5777720648912,958.0844542460601,1951.2718279477165,18.04610938531044,0.3650631183896281,73.86615452047009,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
4104610,주암(조),5일,120,2026-05-02 11:00:00,35.0,13.812,1657.4399999999998,1308.0200632642682,2754.035749614437,3100.5438294878973,19.03431267634463,0.29427886262418634,173.22677702784307,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1003110,충주,1일,24,2026-05-06 11:00:00,0.0,311.28,7470.719999999999,8.880393317641257,120.07294136750626,330.48503741901953,-323.3516524381994,0.6037206931702345,319.65269788431726,낮음,하루 전 관찰 우선순위 판단 구간입니다. 현재 기준으로 큰 방류 증가 신호는 낮지만 예보 갱신 시 다시 확인합니다.
1003110,충주,3일,72,2026-05-04 11:00:00,0.0,0.43,30.96,436.42404594790753,851.8060064327134,1470.0086280580765,3.6926399903152443,0.5416240191061071,1097.6422912045396,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1003110,충주,5일,120,2026-05-02 11:00:00,14.0,0.0,0.0,850.4016546194605,1190.4315374104947,2995.9615462735237,24.107110530084718,0.45572113737581366,1778.3142313728279,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2015110,합천,1일,24,2026-05-06 11:00:00,0.0,0.0,0.0,348.0077813980421,348.0077813980421,1614.3856414735815,5.337882056701171,0.35006457167455873,163.73647936080866,높음,하루 전 관찰 우선순위 판단 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2015110,합천,3일,72,2026-05-04 11:00:00,0.0,0.0,0.0,1829.902280028333,2156.6743490735366,5403.901151407282,46.46311974978534,0.2125875335004755,1541.9598888862529,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
2015110,합천,5일,120,2026-05-02 11:00:00,9.0,0.0,0.0,3124.1884413271114,3124.1884413271114,6897.657540025598,49.15001422456018,0.1078218595364181,1998.0535932871574,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1006110,횡성,1일,24,2026-05-06 11:00:00,0.0,3.87,92.88,46.50385532891111,83.73473063588207,118.1455818925025,0.9703927835575775,0.4790180088345226,42.25222704046684,중간,하루 전 관찰 우선순위 판단 구간입니다. 강수 또는 누적 방류 증가 가능성이 있어 다음 예보 갱신을 확인해야 합니다.
1006110,횡성,3일,72,2026-05-04 11:00:00,0.0,0.0,0.0,135.55218112176829,231.79588720337898,351.310189965845,1.624378593886483,0.4162401910610713,139.39184004022266,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
1006110,횡성,5일,120,2026-05-02 11:00:00,10.0,0.0,0.0,190.75217627630258,545.3529417423525,990.2678712738028,1.6748978618213946,0.34258307639602603,357.4098349750682,높음,장기 전망 구간입니다. 예상 강수와 누적 방류 상한이 커서 사전 관찰과 운영 검토가 필요합니다.
